Complexity,Loss,Equation
1,0.9999998,"-7.3321585e-6"
3,0.48735806,"x8 * -0.7160122"
5,0.23317745,"(x5 + x8) * -0.6257483"
7,0.21228479,"((x5 * -0.72166216) - x8) * 0.7269174"
9,0.14086239,"(x8 + (x5 + (x23 * 0.48355204))) * -0.6283775"
11,0.12369666,"(x8 + (x5 - ((x23 - x5) * -0.35269687))) * -0.76255155"
13,0.09834545,"((x5 + x8) - ((x6 + (x23 - x5)) * -0.31352866)) * -0.7335351"
15,0.07715438,"(x8 + (x5 - ((x20 * -0.22586389) + (-0.35672674 * (x23 - x5))))) * -0.7550089"
19,0.06637374,"(x5 + (x8 - ((x23 - (((x20 - (x5 + x5)) + x6) * -0.35672674)) * -0.35672674))) * -0.7550089"
21,0.045616172,"((x8 - ((x23 - ((x20 + ((x20 - (x5 + x5)) + x6)) * -0.38507953)) * -0.40882856)) + x5) * -0.745392"
