Complexity,Loss,Equation
1,0.9999998,"-5.5406832e-5"
3,0.7812894,"x23 * -0.4676061"
7,0.5784664,"(x23 * -0.4661298) - (x29 * 0.45035756)"
9,0.37865776,"(((x23 * -1.0484933) - x20) - x29) * 0.44808075"
11,0.37865773,"(x23 * -0.46984142) + (((2.199474e-5 - x20) - x29) * 0.44812992)"
13,0.3548598,"(((x23 * -1.0305808) + ((x5 * -0.33171803) - x20)) - x29) * 0.45803425"
15,0.33255914,"((x23 * -1.0305808) + ((((x8 + x5) * -0.33171803) - x20) - x29)) * 0.45803425"
17,0.3107762,"(((x23 * -1.0305808) + ((((x8 + x14) + x5) * -0.33171803) - x20)) - x29) * 0.45803425"
