Complexity,Loss,Equation
1,0.9999998,"5.443181e-5"
3,0.9986608,"x8 * -0.03658663"
4,0.99793005,"square(x1) * 0.021750063"
5,0.9972985,"(x8 * x5) * -0.04306059"
6,0.99502873,"square(0.0012032758 / (x23 + 0.014385307))"
8,0.994625,"square((-0.00020604218 / x15) / (x23 + 0.0146598425))"
10,0.9943687,"square((x25 * (-0.00019446871 / x15)) / (x23 + 0.014659841))"
11,0.9941626,"(x27 + x1) * (((x28 - x1) + -0.40703714) * -0.034485396)"
12,0.9935057,"sqrt(square((square(x2) / (x23 + 0.0133472625)) * (-0.00015392978 / x20)))"
13,0.99204874,"sqrt(square(((x2 * (x2 / x20)) * 0.00029074433) / (x23 + 0.017182581)))"
14,0.99143714,"sqrt(square(x2 * ((square(x2) / (x23 + 0.013347267)) * (-0.0001537772 / x20))))"
16,0.99128526,"sqrt(square(square((((x2 + -0.6582697) * 0.00022791671) * (x2 / x20)) / (x23 + 0.013503359))))"
22,0.9909586,"(0.0033281064 / (0.0033281064 - ((x23 * 1.786097) + x3))) + sqrt(square((-0.0001121156 / x20) * (square(x2) / (x23 + 0.014385377))))"
24,0.9898365,"sqrt(square(((1.7792747e-5 / x20) * -6.301197) * (square(x2) / (x23 + 0.014385377)))) + (0.0033281064 / (x11 - ((x23 * 1.786097) + x3)))"
