Complexity,Loss,Equation
1,0.9999998,"-3.780555e-5"
3,0.62609196,"x5 * -0.6115026"
5,0.25873947,"(x8 + x5) / -1.6254451"
7,0.25857884,"(x8 * -0.60636127) - (x5 * 0.62413776)"
9,0.17958029,"(x5 + (x8 + (x20 * 0.45364505))) / -1.6118417"
11,0.17028458,"(x20 + ((x23 + x5) - (-1.5571185 * x8))) * -0.40114525"
13,0.09594281,"(x20 + ((x5 + x5) - ((x8 / -0.48761874) - x23))) * -0.30371672"
17,0.056688797,"(((x5 - (((x7 * -0.6612434) + (x8 / -0.48757216)) - x23)) + x20) + x5) * -0.30015233"
21,0.05301151,"((((x5 + x5) - ((x8 / -0.44810176) - ((x4 / 2.4745724) + x23))) - (x7 * -0.37696573)) + x20) * -0.2767329"
23,0.053011503,"((x20 + (((x5 + x5) - ((x8 / -0.44810176) - ((x4 / 2.4745724) + x23))) - (-0.37696573 * x7))) * -0.30191743) / 1.0910066"
25,0.04803343,"(x20 + (((x5 + x5) - ((x3 * -0.6607832) - ((x8 * ((x5 - -3.9858377) * 0.3554137)) + x23))) - (x8 * -0.6116615))) * -0.30143338"
27,0.046138346,"((x20 + x5) + ((x5 - ((-0.0073100096 - (((x8 * (x5 - -3.9858377)) * 0.3554137) + x23)) + (x6 * -0.6607832))) - (x8 * -0.6116615))) * -0.30143338"
29,0.04150618,"(((x5 + (x20 + x5)) - ((x8 / -1.5945597) - (x23 + (((x8 * (x5 - -5.724003)) * 0.25023153) + (x2 / 3.1366756))))) - (x3 * -0.45558664)) * -0.29967338"
