Complexity,Loss,Equation
1,0.9999998,"8.8554225e-5"
3,0.2069391,"x14 * -0.8905399"
4,0.20693909,"-0.8905335 / inv(x14)"
5,0.09178654,"(x29 * -0.35625988) - x14"
6,0.09178645,"(-0.3565592 / inv(x29)) - x14"
7,0.08297616,"(x14 + (x29 * 0.38896653)) * -0.90604454"
9,0.05612188,"(-0.1537377 * x13) - ((x29 * 0.35545227) + x14)"
11,0.047220424,"(x12 * -0.18928455) - (((x29 * 0.39676455) + x14) * 0.8979571)"
13,0.038637605,"(((x12 + x13) - x14) * -0.11272491) - ((x29 * 0.35474882) + x14)"
15,0.0386376,"(((x12 + 3.3889115e-5) + (x13 - x14)) * -0.11272175) - ((x29 * 0.35474896) + x14)"
16,0.035313465,"((((x12 + square(x14)) - x14) * -0.14641057) - ((x29 * 0.3560274) + x14)) - -0.14641057"
18,0.024211135,"(((((x12 + square(x14)) + x13) - x14) * -0.11679556) - ((x29 * 0.3568134) + x14)) + 0.11679158"
20,0.023955286,"((((x13 + (x12 + square(x14 * -1.0806227))) - x14) * -0.11370676) - (x14 + (x29 * 0.3571533))) - -0.1327739"
22,0.020226803,"((((square((x29 * -0.31112948) - x14) + x12) + x13) - x14) * -0.11675594) - (x14 + ((x29 * 0.35945207) - 0.124861844))"
24,0.019971993,"(((x12 + square((x14 - (x29 * -0.26926237)) * -1.0814883)) + (x13 - x14)) * -0.113890104) - (((x29 * 0.35982782) + x14) - 0.13958605)"
28,0.018555447,"((((square((x14 * -1.3044424) - (x29 * 0.34512198)) + ((x12 + x11) + x13)) - -1.3861569) - x14) * -0.08022439) - (((x29 * 0.35967276) + x14) - 0.2540218)"
29,0.018552968,"(((x13 + (((x11 + square((x29 * (x14 * 0.6075445)) + 0.47152555)) - x14) + square(x14))) * -0.10939612) - (((x29 * 0.35742265) - -0.13400419) + x14)) - -0.3042521"
30,0.017662665,"((((((x13 + (x11 + x12)) - -1.3863167) + square((x29 * 0.34756392) - (x14 * -1.2840055))) * 0.7354187) - x14) * -0.10997875) - ((x29 * 0.3596823) + (x14 - 0.2519775))"
