Complexity,Loss,Equation
1,0.9999998,"-4.720152e-5"
3,0.27576682,"x14 * -0.85098654"
5,0.1619,"(x29 * -0.36886242) - x14"
7,0.09974816,"(-0.37847936 * (x11 + x29)) - x14"
9,0.07058197,"(((x11 + x29) * -0.3784902) - x14) / 1.1771836"
11,0.066868976,"(x29 * -0.36456066) - ((x14 * 0.8535013) + (x11 * 0.27851647))"
15,0.059947543,"(x29 * -0.3633291) - (((x28 * 0.111080214) + (x14 + (x11 * 0.27272514))) * 0.8539482)"
18,0.040417567,"1.1371347 - ((((x29 * 2.451718) + square(x14 + 2.7785)) + ((x12 + x13) + -1.2822475)) * 0.15281491)"
20,0.040065736,"1.1371347 - (0.15281491 * (((x29 * 2.451718) + ((x12 * 1.1262536) + square(x14 + 2.7785))) + (x13 + -1.2822475)))"
22,0.039159395,"((-0.050545923 - (x12 + ((((x29 * 2.3147867) + -4.7084866) + x14) + (square(x14 + 2.14327) + x11)))) * 0.15941556) + 0.14853454"
24,0.0339414,"1.1703669 - ((((x29 * 2.3318598) + square(x14 + 2.6691859)) + (((x12 + x13) + -1.2836595) + (x29 * (x29 * 0.5564542)))) * 0.15819784)"
26,0.033939466,"1.1694695 - (((square(x14 + 2.6700613) + (x29 * 2.3315163)) + ((x12 + ((x13 + 4.871734) - 6.1649714)) + (x29 * (x29 * 0.55654055)))) * 0.15815283)"
30,0.03387296,"(0.87597156 - (((x29 * 2.340947) + (x14 + ((x13 + x12) + (((x23 / -0.5781043) + (x24 * -1.2537677)) * -0.23556542)))) + (square(x14 + 2.1810026) - 4.8513155))) * 0.15634151"
