Complexity,Loss,Equation
1,0.9999998,"-2.4958852e-5"
3,0.25223863,"x14 * -0.86473674"
5,0.13911402,"(x29 * -0.36252096) - x14"
7,0.12511966,"((x29 / -2.4150732) - x14) * 0.8640527"
9,0.07602087,"(-0.24813117 * x13) - (x14 - (x29 * -0.36440417))"
11,0.059054643,"(x13 * -0.25674132) - ((x14 * 0.86953855) - (x29 * -0.35827368))"
14,0.052891016,"(((-0.16430172 / inv(x13 + x9)) - x14) / 1.151605) - (x29 * 0.35907006)"
16,0.051491745,"(((-0.1480183 / inv((x11 + x10) * 1.1484226)) - x14) / 1.1539598) - (x29 * 0.36004233)"
19,0.048635606,"((x12 - ((x11 + (x11 * 0.6308037)) * -0.6142078)) * -0.14998455) - ((x14 - (x29 * -0.4166806)) * 0.8667381)"
