Complexity,Loss,Equation
1,0.9999998,"2.2512271e-5"
3,0.32792747,"x14 * -0.8198701"
5,0.20880513,"(x29 * -0.38935226) - x14"
7,0.18216212,"(x29 * -0.38216242) - (x14 * 0.8366147)"
9,0.12783094,"((x29 * -0.46057224) - x14) - (x10 * 0.29980105)"
11,0.092111945,"(((x29 * -0.46929416) - x14) - (x10 * 0.36507997)) * 0.8229341"
15,0.07538096,"(((x12 * -0.24783066) - x14) + ((x29 * -0.47325903) - (x11 * 0.2166343))) / 1.218409"
17,0.07473311,"((((0.89116234 * x11) * -0.24783066) - x14) + ((x29 * -0.47325903) - (x10 * 0.2166343))) / 1.218409"
25,0.06573934,"(((((0.82245445 - x14) - ((x23 - (x14 - x10)) * 0.13402064)) / -0.22794154) - (((0.71537334 - x29) / 0.5588073) - x11)) * -0.21565177) - 1.0546521"
