Complexity,Loss,Equation
1,0.9999998,"2.151866e-8"
3,0.4538272,"x14 * -0.7391529"
5,0.3317175,"(x29 + x14) * -0.59120023"
7,0.24644513,"((x12 + x29) * -0.37526023) - x14"
9,0.17842129,"((x29 + x12) * -0.37526023) - (x14 * 0.7391862)"
11,0.16669646,"(x14 * -0.7374584) + (((x23 + x29) + x10) * -0.31124395)"
13,0.15380192,"(x29 * -0.42884886) + ((((x12 + x10) * -0.2491538) - x14) * 0.7463356)"
15,0.119848594,"(-0.42884886 * x29) + ((((x23 + (x12 + x10)) * -0.2491538) - x14) * 0.7463356)"
17,0.111346714,"(((x29 + x12) * -0.28415546) - (x14 * 0.74441856)) + (((x29 + x23) + x20) * -0.18548614)"
19,0.09229768,"((((x12 + x29) * -0.29013038) - x14) * 0.74544597) + (((x29 + (x23 + x9)) + x20) * -0.18410224)"
21,0.09223956,"((((x12 + x29) * -0.28415546) - x14) * 0.74441856) + ((x20 + ((x29 + x23) + (x13 + -0.0868005))) * -0.18548614)"
23,0.08840789,"(((((x11 * 0.44778088) + x29) * -0.3439542) - x14) * 0.7449903) + ((x10 + (x9 + (x23 + (x29 + x20)))) * -0.17233078)"
25,0.085160024,"(((((x11 * 0.44778088) + x29) * -0.3439542) - x14) * 0.7449903) + ((x10 + ((x9 + (x23 + (x29 + x20))) * 1.5265878)) * -0.11288626)"
