Complexity,Loss,Equation
1,0.9999998,"-4.0252333e-5"
3,0.5563665,"x8 * -0.66605157"
5,0.3533271,"(x5 * -0.41689432) - x8"
6,0.32678804,"(-0.5414451 / inv(x5)) - x8"
7,0.22125955,"(x5 * -0.57900983) - (x8 * 0.6781077)"
9,0.16849801,"(x20 + ((x5 + x8) * 2.430924)) * -0.25906757"
11,0.13796511,"(((x8 + x23) + x8) * -0.330511) - (x5 / 1.7182395)"
13,0.086620495,"-0.23791221 * (((((x5 + x8) * 2.1707277) + x20) + x23) / 0.8710304)"
15,0.08295493,"(((x23 + (((x5 + x8) * 2.3645136) + x20)) / 0.8821132) * -0.23720728) + -1.0428654e-5"
17,0.059487056,"(((x8 + x5) * 2.3226438) + ((x23 + (x20 + x8)) - (1.885633e-6 - x4))) * -0.2210621"
19,0.054572567,"(-0.2211836 - (x8 * square(0.118582055))) * (x23 + ((((x8 + x5) * square(1.6568747)) + x20) + x2))"
21,0.052240923,"(((0.004145302 - (((x23 + (x20 + x23)) + x20) + x12)) * 0.13697927) - (x5 / 1.7419091)) - (x8 / 1.4623297)"
23,0.037556227,"(-0.2085136 - (x8 * 0.030505762)) * (x8 + ((x20 - (0.58037084 - x4)) + ((2.5136094 * (x8 + x5)) + (x23 / 0.7024618))))"
29,0.03220694,"((x23 / 0.5300404) + (((x8 + x5) * 3.4895291) + (((x20 + (x3 + (x20 * 0.60867363))) - 1.2042211) - (-0.6380035 - x8)))) * (-0.15853468 - (x8 * 0.020123608))"
