Complexity,Loss,Equation
1,0.9999998,"9.2611765e-5"
3,0.9988508,"-0.00071909407 / x15"
4,0.99793005,"square(x1 * -0.14740269)"
5,0.99767876,"-0.00071909407 / (x24 + x17)"
6,0.99659055,"square(x1 * (x8 * -0.1411299))"
8,0.99631035,"square((0.0043458994 / (x13 + 1.8343785)) * x2)"
9,0.9953037,"((x16 / x25) + -0.002616668) * (x9 * -0.0037276424)"
11,0.993879,"((x16 / x25) * ((0.46133465 - x9) * 0.00418252)) + -0.0048177424"
15,0.99216974,"-2.0411585e-6 / ((x4 * ((x11 / 0.2563575) + x2)) * ((x20 + x10) * 0.18961906))"
22,0.99113524,"((x21 - x21) + (7.647483e-5 / (x4 / x26))) / ((x5 + (square(x18) * x17)) / (x22 - (x12 * 6.648835)))"
25,0.9910572,"(((0.72387546 / (((x10 * (x17 * 0.32940167)) / x25) + x5)) - -1.5644075) * (((x5 + x3) / x25) - 0.6980442)) * (7.5398006e-5 / x4)"
27,0.99104,"(((7.5398006e-5 / x4) * ((0.72387546 / (((x10 * (x17 * 0.32940167)) / x25) + x5)) - -1.5644075)) * (((x5 + x3) / x25) - 0.6980442)) * 0.9595918"
29,0.990924,"(7.971475e-5 / x4) * (((0.56962377 / (x5 + (x10 * (x17 * (0.32940137 / x25))))) - -1.5644075) * ((((x5 + x3) / x25) - square(-0.09045354)) - square(x26)))"
