Complexity,Loss,Equation
1,0.9999998,"2.203224e-5"
3,0.32792747,"x14 * -0.81979746"
5,0.27972686,"(x12 * -0.2981115) - x14"
7,0.13923006,"(-0.4191808 * (x29 + x12)) - x14"
9,0.09583202,"(((x29 + x10) * -0.4191808) - x14) / 1.2209531"
13,0.075110294,"(((((x29 + x12) + x11) + x29) * -0.22766967) - x14) / 1.2210397"
19,0.07437019,"((x14 + (((x20 + ((x11 + x28) + x11)) + -0.0024032407) * 0.28556508)) + (x29 + x14)) * -0.4073074"
21,0.07287893,"(-0.31970766 - (((x29 + ((x29 + x29) + x28)) + (x10 + x11)) * 0.12949364)) + (0.31970716 - (x14 / 1.2162135))"
23,0.0681389,"(-0.524242 - (((((x29 + (x29 + -3.1878529)) + x10) + x12) + (x29 + x11)) * 0.12626079)) + (0.11517375 - (x14 / 1.2158556))"
25,0.068040945,"(-0.3754152 - (((((x29 + ((x29 + -3.7576592) + x10)) + x12) + (x29 + -0.10474556)) + x11) * 0.12790124)) + (-0.11859412 - (x14 / 1.2210956))"
26,0.06651104,"((-0.33677185 - (square(x14) + ((((x26 + ((x1 + x29) + x10)) + x29) - x14) + (x29 + -1.0459616)))) * 0.13228376) + (0.03846922 - x14)"
27,0.06419658,"(-0.100294486 - ((x7 + (((x29 + ((x23 + x12) + ((x29 + -0.113471635) + x29))) + -0.38406584) + x11)) * 0.12489172)) + (0.03815581 - (x14 / 1.2196747))"
28,0.06323335,"((-0.44236332 - ((square(x14) + 0.64698386) + (x4 + ((x10 + ((((x29 + x12) - x14) + x29) + -1.6373463)) + x29)))) * 0.13028261) + (0.063618384 - x14)"
