Complexity,Loss,Equation
1,0.9999998,"-3.9696693e-5"
3,0.5563665,"x8 * -0.6660564"
5,0.22627208,"(x8 + x5) * -0.62862855"
7,0.22125958,"(x5 + (x8 / 0.85392594)) * -0.5790366"
8,0.22125955,"(-0.5790088 / inv(x5)) - (x8 * 0.6781088)"
9,0.19578938,"(-0.3439785 * (x5 + x23)) - (0.68482745 * x8)"
11,0.13622071,"((x23 + (x5 / 0.5078155)) * -0.29242337) - (x8 * 0.67066497)"
13,0.114920035,"(((x23 + x4) + (x5 / 0.40382195)) * -0.22943108) - (x8 * 0.6709108)"
15,0.07627511,"(((((x20 + x23) * 0.46757403) + x5) / 0.51341885) * -0.29709256) - (x8 * 0.693117)"
16,0.07626886,"(-0.27951118 / inv((x20 + ((x5 + x23) * 1.0628132)) + x5)) - (x8 * 0.6874729)"
18,0.06702318,"(-0.27951118 / inv((x20 + (x13 + ((x5 + x23) * 1.0628132))) + x5)) - (x8 * 0.6874729)"
20,0.0576696,"(-0.2187664 / inv(x20 + (x13 + ((x5 + 0.0006488664) + ((x5 + x23) * 1.4853954))))) - (x8 * 0.68383545)"
24,0.053106617,"(-0.27951118 / inv(((1.0628132 * x23) + ((x5 + ((x13 + x20) + 0.062283333)) + (-0.53536355 * x13))) + x5)) - (0.6874729 * x8)"
26,0.041411206,"(-0.2669733 / inv(((x20 + (((((x7 * 0.45512345) + x5) * 1.1413339) + x23) + (x1 * 0.2256553))) + x5) + -0.010609318)) - (x8 * 0.68601745)"
30,0.041410856,"(-0.2669229 / inv(x20 + ((((((x7 * 0.46004614) + x5) * 1.1426634) + x23) + (((x1 * 0.23200835) + (x5 + 0.30233985)) + -0.006618835)) + -0.28776047))) - (x8 * 0.68576145)"
