Complexity,Loss,Equation
1,0.9999998,"4.7268175e-5"
3,0.22655806,"x14 * -0.8794345"
5,0.11305323,"(x29 * -0.35781983) - x14"
7,0.071809344,"((x13 + x29) * -0.29177865) - x14"
9,0.0626854,"((x29 * -0.3591247) + (x13 * -0.22443184)) - x14"
11,0.0495758,"(((x13 * 0.64277744) + x29) * -0.35299242) - (x14 * 0.8839668)"
13,0.048815858,"((x12 + ((x29 * 2.8195665) + x0)) * -0.12585096) - (x14 / 1.1314824)"
16,0.04143189,"(((x12 + (x13 - (-2.6495414 / inv(x29)))) * -0.07457159) / 0.5542565) - (x14 * 0.8835307)"
18,0.037715722,"((((x13 * 0.6890737) + x29) * -0.3233412) - (square(0.49563465 - x14) * 0.14194807)) - (x14 + -0.19228283)"
20,0.035920545,"(((x29 + (x13 * 0.63595885)) * -0.35611582) - (0.0147573035 - (square(0.47301993 - x14) * -0.12822087))) - (x14 + -0.17164093)"
23,0.030865816,"((((x13 * 0.64277744) + x29) * -0.35299242) - (square(x29 * -0.28128746) - (-0.13007697 * square(0.45504385 - x14)))) - (x14 + -0.23614551)"
25,0.030863822,"((((x13 * 0.64277744) + x29) * -0.35299242) - (square((x29 * -0.28128746) + 0.0025583897) - (square(0.45504385 - x14) * -0.13007697))) - (x14 + -0.23614551)"
