Complexity,Loss,Equation
1,0.9999998,"1.1028846e-5"
3,0.25223863,"x14 * -0.86472374"
5,0.13911402,"(x29 * -0.36252907) - x14"
7,0.12484974,"((x29 * -0.40578586) - x14) / 1.1358695"
9,0.066241376,"(((x29 + x12) * 0.35657975) + x14) * -0.86485934"
11,0.06471658,"(((x29 * -0.363982) - x14) - (x13 * 0.25120705)) * 0.94033885"
13,0.059069403,"(((0.050624516 * (x13 / -0.16967058)) - x14) - (x29 * 0.41150978)) / 1.1475519"
15,0.048760958,"((((8.119017e-5 - (x12 + x11)) * 0.16663872) - x14) - (x29 * 0.41190636)) / 1.1537516"
17,0.047162715,"(((((x13 / -0.8977886) - (x12 + 0.0032207854)) * 0.16836868) - x14) - (x29 * 0.41521242)) / 1.1558981"
19,0.04715657,"(((((((x13 / -0.89144474) - x12) - 0.090619005) * 0.16685739) - x14) - (x29 * 0.41732782)) / 1.1553446) + 0.013885381"
20,0.046875708,"((((((x13 / -0.42418063) - x12) - (x6 / square(1.0482831))) * 0.08480535) - x14) - (x29 * 0.41386512)) / 1.1503628"
21,0.044407308,"(((((x13 / -0.76430243) - (x12 + square(square(x29 * -0.60626394)))) * 0.15714714) - x14) - (x29 * 0.4071971)) / 1.1577297"
24,0.038400162,"-0.8551283 * ((x14 - (((((-4.6773515 * x29) - x10) - (x12 - (-0.5587256 * square(x14)))) * 0.090288736) - (x11 * 0.16731067))) + -0.06287219)"
25,0.034616508,"((x14 - (((((x29 * -4.6773515) - x10) - (x1 - (square(square(x14)) * -0.5587256))) * 0.090288736) - (x11 * 0.16731067))) + -0.06287219) * -0.8551283"
27,0.033977557,"((x14 - (((((x29 * -4.6773515) - x10) - ((x1 - 0.30827332) - (square(square(x14)) * -0.5587256))) * 0.090288736) - (x11 * 0.16731067))) + -0.06287219) * -0.8551283"
29,0.033695795,"((x14 - (((((x29 * -3.4978285) - x10) - (((x1 - 0.054256022) - (square(square(x14)) * -0.58094513)) * 0.74776304)) * 0.121622086) - (x11 * 0.1498174))) + -0.091423385) * -0.8577752"
