Complexity,Loss,Equation
1,0.9999998,"0.00012545366"
3,0.27576685,"x14 / -1.1750882"
5,0.16193426,"(x29 * -0.3630142) - x14"
7,0.09322844,"((x11 + x29) * -0.321095) - x14"
9,0.078842714,"(-0.2702132 * (x12 + x29)) - (x14 * 0.8558809)"
11,0.07429253,"(((x29 + x29) + x11) * -0.20137328) - (x14 / 1.1642708)"
13,0.06689366,"((x29 + ((x11 + x29) / 0.2949084)) * -0.08346704) - (x14 * 0.85402465)"
15,0.059094325,"(((((x29 + x11) + x29) / 0.70489365) + x9) * -0.12951033) - (x14 * 0.8551694)"
17,0.059094317,"((((((x29 + x11) + x29) / 0.70475453) + x9) * -0.12949303) - (x14 * 0.8551714)) - 1.6223323e-6"
19,0.05422172,"(((x12 + (x29 + x29)) + ((x9 + (x18 + x11)) * 0.34651694)) * -0.17907691) - (x14 * 0.85473853)"
21,0.04833034,"((x29 + (x12 + (((((x10 + x28) + x11) * 0.3515629) + x29) / 0.5894779))) * -0.13454406) - (x14 * 0.852016)"
22,0.038863845,"(((x13 + ((square(x14) + (x23 + (x11 + -0.9662898))) * 0.6265231)) + (x29 + x29)) * -0.18445943) - (x14 * 0.8472054)"
