Complexity,Loss,Equation
1,0.9999998,"4.0789197e-5"
3,0.6920438,"x5 * -0.5549335"
6,0.42201006,"(x8 + x5) / inv(-0.44845358)"
7,0.40666506,"((x5 - x8) / 1.9656047) - x5"
8,0.40014738,"(-0.5403904 / inv(x8)) - (x5 * 0.56618476)"
9,0.28199798,"((x8 + x5) + (x23 * 0.62182724)) / -1.8132839"
13,0.1959538,"(((x23 + (x20 + x8)) / -1.6490817) - (x5 / 1.2183936)) * 0.685361"
17,0.13854103,"(((((x20 + (x23 + x8)) * -1.7264949) + -0.033698898) - x4) * 0.23931244) - (x5 * 0.5495639)"
19,0.10857084,"((((((x8 * 1.6040325) + (x23 + x20)) + 0.05174324) / -0.6960515) - x2) * 0.23761432) - (x5 * 0.5508312)"
25,0.099506624,"(((((x8 * 1.323617) + ((0.27249452 - ((0.2792594 - x20) + (x10 / -1.3365923))) + x23)) / -0.49265933) - x29) * 0.1925094) - (0.58487684 * x5)"
27,0.083041616,"(((((((x8 + (x8 * 0.8222875)) + (x23 / 0.88955617)) / 0.6231583) - ((x20 * -1.672922) - x29)) / -1.2419032) - x7) * 0.23660508) - (x5 * 0.5574543)"
29,0.08260557,"(((((((x8 + (x8 * 0.88165474)) + (x23 / 0.8879682)) / 0.56500995) - (((x20 * -1.9333007) + -8.738447e-6) - x29)) / -1.4379693) - x7) * 0.24750313) - (x5 * 0.5590679)"
