Complexity,Loss,Equation
1,0.9999998,"4.585629e-5"
3,0.22655803,"x14 * -0.8794907"
5,0.21748021,"(-0.17193337 * x17) - x14"
6,0.20102745,"(-0.16571522 / inv(x6)) - x14"
7,0.13033415,"inv(inv(x29 * -0.48927784)) - x14"
9,0.11069882,"inv(0.2930504 - inv(x29 * 0.34869924)) - x14"
11,0.10562633,"(inv(inv(x29 * -0.48927784)) - x14) - (0.11223641 * x28)"
12,0.08429953,"(-0.17193337 * (x6 + ((square(0.7837867) + x29) + x29))) - x14"
13,0.0604905,"(((x29 / 0.6164125) + x6) * -0.20555742) - ((x14 / 1.6572323) * 1.4647738)"
17,0.060219828,"((((((x10 + x26) / 0.66758406) * 0.61925834) + (x29 / 0.27744496)) + x6) * -0.10093224) - x14"
21,0.060007222,"inv(inv(((x7 * -0.38532186) - (inv(inv(1.4627265e-5 - (x29 * -1.0483977))) * 0.6403602)) / 1.8776398)) - (x14 / 1.1264114)"
23,0.052827008,"inv(inv((((x12 * -0.6091763) - inv((x12 - x12) - inv(x29 * -0.98101074))) * 0.68016696) / 1.865409)) - (x14 / 1.1293281)"
