Complexity,Loss,Equation
1,0.9999998,"2.250716e-5"
3,0.32792747,"x14 * -0.81979746"
5,0.20880511,"(x29 * -0.38935176) - x14"
11,0.13407294,"((3.0170504e-6 - x29) / 2.527799) - (x14 - (x7 * -0.27344248))"
13,0.09322927,"((2.3189408e-5 - x29) * 0.38333246) - ((x14 - (x13 * -0.3622794)) / 1.2137359)"
17,0.088215165,"(((0.059146497 - x29) * 0.46428704) - (x14 - (x13 * -0.38060033))) / (1.2199236 - (x13 * 0.08276048))"
21,0.07645727,"(x10 * -0.17852782) + (((-0.13761924 - (x29 + -0.08185814)) / 2.6534753) - ((x14 - ((x13 - 0.116919525) * -0.21375345)) / 1.2208052))"
23,0.07104902,"((((((-0.0017019953 - x29) / 2.7592196) - x14) * -4.358902) - (0.0024062842 - (((x23 + x25) / 2.2314537) + x11))) - x14) / -4.0874953"
25,0.07019057,"(((((x1 - x29) / 1.5047256) - x14) * -2.5040684) - (((x1 * -2.2000406) - (((x3 + x11) + x23) / 2.114575)) - x14)) / -4.2960086"
27,0.06822872,"(((((x1 - (x29 * 1.143943)) / 1.7473831) - x14) * -2.4847834) - (((x1 * -2.0667236) - ((x25 + (x11 + x23)) / 1.9968743)) - x14)) / -4.276972"
