Complexity,Loss,Equation
1,0.9999998,"-3.9722032e-5"
3,0.5563665,"x8 * -0.6660519"
5,0.22627205,"(x5 + x8) * -0.6285273"
7,0.22125955,"(x8 + (x5 * 0.8538567)) * -0.678108"
9,0.15494388,"-0.68995786 * (x8 + (x5 + (0.5472122 * x23)))"
11,0.13778248,"((x5 * 0.8350643) + ((x23 / 2.733322) + x8)) * -0.68995786"
12,0.13745868,"-0.68995786 * (x8 + ((x5 + (0.5472122 * x23)) / sqrt(1.3461545)))"
13,0.13609472,"((((x5 * 0.85641164) + (x23 / 2.328819)) + x8) * -0.67991066) - 3.2684113e-7"
15,0.13609457,"(x8 + ((x5 + (((x23 / 1.1196373) * 0.6995466) / 1.2458991)) * 0.855804)) * -0.68011963"
17,0.08160141,"(((((0.00083297584 - (x20 + x24)) - x23) * -0.3095588) + (x8 * 1.1912963)) + x5) * -0.57176095"
21,0.055141784,"(((x20 * 0.42659572) + (((((0.0064750016 - (x0 + 0.0067821364)) - x23) * -0.331384) + x8) * 1.2046306)) + x5) * -0.56971264"
25,0.051711757,"(((((x23 + x0) * 0.08246371) + (((((0.00083297584 - (x2 + x20)) - x23) * -0.3095588) + x8) * 1.1912963)) + 6.869028e-5) + x5) * -0.57176095"
27,0.05171013,"((x19 * 0.00083297584) + (((x23 + x0) * 0.08246371) + ((((((0.00083297584 - (x2 + x20)) - x23) * -0.3095588) + x8) * 1.1912963) + x5))) * -0.57176095"
