Complexity,Loss,Equation
1,0.9999998,"8.8022225e-6"
3,0.48735812,"x8 * -0.7159929"
5,0.48735806,"(x8 * -0.7159904) + 2.347859e-6"
7,0.21228477,"((x5 * -0.7217019) - x8) / 1.3756888"
9,0.14555945,"(((x23 + x5) * -0.57128114) - x8) / 1.3746946"
11,0.120175354,"(((x23 * -0.41634625) - x8) - (x5 * 0.72387666)) / 1.3717306"
13,0.12017534,"(x23 * -0.30351683) + (((-4.0392183e-6 - x8) - (x5 * 0.723872)) / 1.3717189)"
18,0.11509999,"(((((square(x23 + -1.3070831) - x4) - 2.5500197) * 0.14553992) - x8) / 1.3837401) - (x5 * 0.522424)"
