Complexity,Loss,Equation
1,0.9999998,"0.00012547697"
3,0.27576685,"x14 * -0.85101837"
5,0.16203196,"(x29 / -2.7981536) - x14"
7,0.13120502,"(-0.18701093 * (x12 + x29)) - x14"
9,0.08833141,"((x11 * -0.2784846) + (x29 / -2.74327)) - x14"
11,0.066868976,"((x11 * -0.2784846) + (x29 / -2.74327)) - (x14 * 0.8534946)"
15,0.05767811,"((((x12 * -0.19849208) + (x29 / -2.3133297)) - x14) + (x10 / -5.574587)) * 0.8523244"
17,0.054542817,"(x13 * -0.16460745) + ((((x29 / -1.1627364) - x14) + ((x12 * -0.38244638) - x14)) * 0.42647877)"
18,0.03915309,"0.15759903 - (x14 + ((square(x14) + (x11 + ((x12 - x14) + (x29 * 2.3444774)))) * 0.15759896))"
22,0.039151177,"((((((x29 * 2.334173) + x12) + ((x14 / 1.2801187) + square(x14))) + x11) * -0.15780264) + 0.15676929) - (x14 / 1.3868779)"
24,0.039148755,"((1.572163 - x14) / 1.4583986) + (-0.776868 - ((x14 + (((x11 - -0.9027629) + x12) + ((x29 * 2.336203) + square(x14)))) * 0.15821974))"
26,0.03914855,"(((1.5624932 - x14) / 1.4206684) + (-0.79049695 - (((((x29 * 2.3375099) + square(x14)) + x12) + ((x14 + x11) - -0.9050199)) * 0.16227938))) / 1.0260966"
