Complexity,Loss,Equation
1,0.9999998,"-2.9834625e-6"
3,0.43580705,"x8 * -0.7510993"
5,0.24310178,"(x8 + x5) * -0.62015206"
7,0.20338017,"(x5 * -0.4822408) - (x8 / 1.3138301)"
9,0.17833906,"0.21113157 * (((x8 + x5) / -0.28871194) - x23)"
11,0.10582708,"(x5 * -0.48543587) + ((x8 * -0.76335776) - (x23 * 0.31232715))"
13,0.07016068,"(x5 * -0.48190165) + (((x8 / -0.3345944) - (x23 + x20)) * 0.25948524)"
15,0.070160665,"(x5 * -0.48187667) + (((x8 / -0.4233277) - ((x20 + x23) * 0.7903048)) * 0.32826537)"
17,0.050712045,"((x5 * -2.0882473) + (((x8 / 0.6489505) / -0.45541766) - ((x23 + x7) + x20))) * 0.22581643"
19,0.044309758,"(((((x8 / 0.6102816) / -0.33311832) - (x23 + (x23 + x20))) - x4) * 0.15392525) + (x5 * -0.47683722)"
21,0.04120193,"(((((x8 / -0.21590826) - (x23 + (x23 + x20))) - x6) + 0.16834691) * 0.16519031) + ((x5 * -0.47708142) + -0.01952735)"
23,0.04111653,"((((((x8 / 0.61816025) / -0.34835806) - (x23 + (x20 + x23))) - x6) + 0.7977641) * 0.16420656) + ((x5 * -0.47926298) + -0.1310212)"
