Complexity,Loss,Equation
1,0.9999998,"-6.3567622e-6"
3,0.6121512,"x5 * -0.6227703"
5,0.22505313,"(x8 + x5) * -0.6290563"
7,0.22496219,"(x5 * -0.6357289) - (x8 * 0.6223808)"
11,0.14929265,"(((x8 * -0.9777827) - (x23 * 0.4308362)) - x5) / 1.5661075"
15,0.07694499,"(((x23 + x20) - (((-0.5708768 * x8) + x5) / -0.43115038)) * -0.27376452) - x8"
17,0.049643558,"(((x23 + x6) + (x20 - (((x8 * -0.59969246) + x5) / -0.38280308))) * -0.24070686) - x8"
19,0.049511258,"((((x23 + x20) + (x7 - (((x8 * -0.5679157) + x5) / -0.38399696))) * -0.24461775) - x8) * 0.98269165"
