Complexity,Loss,Equation
1,0.9999998,"9.641203e-5"
3,0.22655803,"x14 * -0.8794599"
5,0.11305331,"(x29 * -0.3575627) - x14"
7,0.071809344,"((x13 + x29) * -0.2917784) - x14"
9,0.06788548,"(-0.16965848 * ((2.0734367 * x29) + x11)) - x14"
11,0.05499017,"((x13 + (x12 + (2.8204434 * x29))) * -0.12783054) - x14"
13,0.041503724,"((-0.8804385 * x14) + ((x13 + x12) * -0.13032989)) - (x29 * 0.35637188)"
15,0.04143189,"(((x13 + x12) * -0.13456003) + ((-1.1398772e-6 - x29) * 0.35645822)) + (x14 * -0.88353103)"
18,0.034963183,"(-0.8804385 * ((0.06674184 * square(x14)) + x14)) + (((x13 + x12) * -0.13032989) - (x29 * 0.35637188))"
19,0.0348474,"((((square(square(x14)) * 0.034658626) + x14) * -0.8770559) + ((x13 + x10) * -0.13003606)) - (x29 * 0.35725865)"
20,0.0271551,"(-0.8734558 * (((square(x14) + -0.9417594) * 0.1569473) + x14)) + (((x12 + x13) * -0.13530174) - (0.35798594 * x29))"
22,0.027051272,"((((x12 + x13) * -0.13391328) - (x29 * 0.358673)) + ((((square(x14) + -2.0207992) * 0.15006505) + x14) * -0.8767505)) + -0.1343076"
24,0.024083711,"((((square((x29 * 0.25817955) + x14) + -0.9417594) * 0.1569473) + x14) * -0.8734558) + (((x12 + x13) * -0.13530174) - (x29 * 0.35798594))"
