Complexity,Loss,Equation
1,0.9999998,"1.4403209e-5"
3,0.20693909,"x14 / -1.1229401"
5,0.091786444,"(x29 * -0.35655063) - x14"
7,0.0717607,"((x29 + x11) * -0.27227336) - x14"
9,0.057011984,"((x29 + (x11 * 0.5420555)) * -0.35347113) - x14"
11,0.04635424,"((x29 + (x11 * 0.5420555)) * -0.35347113) - (x14 * 0.89676356)"
15,0.044152375,"(((x29 + ((x13 + -0.17138484) * 0.5583561)) * -0.3532057) - (x14 * 0.8976597)) + -0.03380356"
17,0.032734178,"(x11 + (((x14 + 5.6911616) * (x29 - (x14 * -2.363387))) + (x1 + -1.9662026))) * -0.066420674"
19,0.030442726,"((x11 + x22) + ((x7 + ((x14 + 5.6911616) * (x29 - (x14 * -2.363387)))) + -1.9662026)) * -0.066420674"
21,0.024728877,"(x11 + ((((x14 + 5.720324) * (x29 - (x14 * -2.4107258))) + x1) + ((x23 + -2.365113) + x7))) * -0.06443206"
23,0.022420503,"((((x14 + 5.7679996) * (x29 - (x14 * -2.5475237))) + x7) + (((x11 + -0.7427333) + x27) + (x10 + -1.7761877))) * -0.0608715"
