Complexity,Loss,Equation
1,0.9999998,"9.332986e-5"
3,0.9986608,"x8 * -0.0365875"
4,0.99793005,"square(x1 * 0.14747913)"
5,0.996849,"(0.00031273675 / x21) / x14"
7,0.9942502,"(x19 * -0.0059571965) / (x21 + x9)"
9,0.99425006,"(x19 * (-0.00046734672 / (x21 + x9))) / 0.078431256"
13,0.9916636,"-0.0021334216 / (((x21 * 3.4042623) / x11) * (x18 + (x19 / 0.4919655)))"
15,0.99165165,"(-0.0021334216 / (3.4042623 * (((x18 + (x19 / 0.4919655)) / x11) * x21))) * 0.98167557"
22,0.99156713,"(-0.0017312784 / ((x21 * 3.7152948) / x9)) * (inv((x19 / 0.4921094) + x18) / (((x19 + 0.84821856) * 0.4922247) + 0.49222448))"
24,0.99089795,"(inv(((x19 / 0.49215773) + x18) / ((((x29 * 0.29500082) + 0.49222493) - x4) - -0.81890893)) * -0.0015154139) / ((3.7152948 / x9) * x21)"
29,0.99029356,"(inv(((x19 / 0.49215773) + x18) / (((x29 * x0) * ((0.5248768 + 0.49222493) - square(x29))) - -0.81890893)) * -0.0015154139) / (((3.7152948 / x9) * x21) / 1.5385053)"
