Complexity,Loss,Equation
1,0.9999999,"-2.843762e-5"
3,0.7812894,"x23 * -0.46759564"
5,0.57859045,"(x23 + x29) * -0.4581672"
7,0.37899712,"((x29 + x20) + x23) * -0.4581672"
9,0.37897322,"(2.8381488e-5 - (x23 + (x29 + x20))) * 0.4553905"
11,0.3557321,"(x5 * -0.12807363) - ((x29 + (x23 + x20)) * 0.45295143)"
13,0.33443087,"((x6 + x5) * -0.14734697) - (((x20 + x23) + x29) * 0.45376468)"
15,0.3158718,"((x29 + (((x7 + x8) + x5) * 0.3106431)) + (x23 + x20)) * -0.45916927"
17,0.31123626,"(x14 * -0.14277244) - (((x29 + (x23 + x20)) + ((x5 + x8) * 0.30587316)) * 0.46190208)"
19,0.29551628,"(x14 * -0.14277244) - (((x29 + (x23 + x20)) + (((x7 + x5) + x8) * 0.30587316)) * 0.46190208)"
