Complexity,Loss,Equation
1,0.9999998,"1.0761869e-7"
3,0.45382714,"x14 * -0.739"
5,0.3324062,"(x29 * -0.43534267) - x14"
7,0.24455759,"(-0.39433137 * (x9 + x29)) - x14"
9,0.17842129,"(((x12 + x29) * -0.5076787) - x14) * 0.7391742"
11,0.17476359,"((x29 + ((x12 - x14) * 0.7245577)) * -0.40592486) - x14"
13,0.15242158,"((x20 + x12) - ((x29 * -1.7702918) - (x14 / 0.32140043))) * -0.24269055"
17,0.14208338,"(((x20 - x14) * 0.5476608) + (x12 - ((x29 * -1.3555166) - (x14 / 0.3451924)))) * -0.31769213"
19,0.1263364,"-0.40830246 * (0.15337645 + (x29 - (((((x14 + (x23 + x4)) + x20) + x13) * -0.43256232) - x14)))"
21,0.10086799,"((x29 + 0.15337645) - (((x23 + (x4 + (x14 + (x14 + (x20 + x13))))) * -0.43256232) - x14)) * -0.40830246"
23,0.09694587,"((x29 - (((x14 + ((((x14 + -0.3601728) + x23) + x4) + (x20 + x13))) * -0.43345016) - x14)) + 0.15611382) * -0.40788692"
